sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
40,A SWAMINATHAN,INZ000173014,90139,3015,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3015&h_MemType=members&memName=A%20SWAMINATHAN
41,SHAILESH MULCHAND NISSAR,INZ000248617,00278,2122,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2122&h_MemType=members&memName=SHAILESH%20MULCHAND%20NISSAR
42,JAYSHREE FINVEST LTD.,INZ000254938,07699,975,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=975&h_MemType=members&memName=JAYSHREE%20FINVEST%20LTD.
43,GCM SECURITIES LTD.,INZ000255131,07934,543,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=543&h_MemType=members&memName=GCM%20SECURITIES%20LTD.
44,ECONO BROKING PRIVATE LIMITED,INZ000301331,13771,2474,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2474&h_MemType=members&memName=ECONO%20BROKING%20PRIVATE%20LIMITED
45,GHANSHYAM SHARES & STOCK BROKERS PVT LTD,INZ000245133,08552,544,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=544&h_MemType=members&memName=GHANSHYAM%20SHARES%20%26%20STOCK%20BROKERS%20PVT%20LTD
46,OHM STOCK BROKER PVT. LTD.,INZ000246138,10573,1574,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1574&h_MemType=members&memName=OHM%20STOCK%20BROKER%20PVT.%20LTD.
47,WELLWORTH SHARE & STOCK BROKING LIMITED,INZ000261433,10557,1895,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1895&h_MemType=members&memName=WELLWORTH%20SHARE%20%26%20STOCK%20BROKING%20LIMITED
48,JUPITER STOCK BROKERS LTD.,INZ000250436,10250,275,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=275&h_MemType=members&memName=JUPITER%20STOCK%20BROKERS%20LTD.
49,MITTAL SECURITIES PVT LTD,INZ000288039,06531,162,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=162&h_MemType=members&memName=MITTAL%20SECURITIES%20PVT%20LTD
50,NATVERLAL & SONS STOCKBROKERS PRIVATE LIMITED,INZ000243336,13435,180,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=180&h_MemType=members&memName=NATVERLAL%20%26%20SONS%20STOCKBROKERS%20PRIVATE%20LIMITED
51,RAMSNEHI VINIYOG PRIVATE LIMITED,INZ000046331,90186,3063,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3063&h_MemType=members&memName=RAMSNEHI%20VINIYOG%20PRIVATE%20LIMITED
52,SVS SECURITIES PVT. LTD.,INZ000284933,09957,441,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=441&h_MemType=members&memName=SVS%20SECURITIES%20PVT.%20LTD.
53,DOLAT ALGOTECH LIMITED,INZ000285038,90183,3060,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3060&h_MemType=members&memName=DOLAT%20ALGOTECH%20LIMITED
54,DEAL DEPOT BROKERAGE PVT LTD,INZ000257137,07096,221,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=221&h_MemType=members&memName=DEAL%20DEPOT%20BROKERAGE%20PVT%20LTD
55,BRSB SECURITIES PRIVATE LIMITED,INZ000302136,90241,3118,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3118&h_MemType=members&memName=BRSB%20SECURITIES%20PRIVATE%20LIMITED
