sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
45,ADROIT ALGOTECH PRIVATE LIMITED,INZ000328431,90461,3328,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3328&h_MemType=members&memName=ADROIT%20ALGOTECH%20PRIVATE%20LIMITED
46,ADROIT FINANCIAL SERVICES PRIVATE LIMITED,INZ000173137,8538,627,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=627&h_MemType=members&memName=ADROIT%20FINANCIAL%20SERVICES%20PRIVATE%20LIMITED
47,ADROIT SHARE & STOCK BROKER PVT. LTD.,INZ000278739,12691,2014,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2014&h_MemType=members&memName=ADROIT%20SHARE%20%26%20STOCK%20BROKER%20PVT.%20LTD.
48,ADVENT STOCK BROKING PRIVATE LIMITED,INZ000268635,12700,2031,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2031&h_MemType=members&memName=ADVENT%20STOCK%20BROKING%20PRIVATE%20LIMITED
49,ADVENTURES INDIA FINANCIAL SERVICES LIMITED,INZ230004236/INZ230004236/INZ230004236,90011,2886,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2886&h_MemType=members&memName=ADVENTURES%20INDIA%20FINANCIAL%20SERVICES%20LIMITED
50,ADWEALTH STOCK BROKING PRIVATE LIMITED,INZ000005538,90026,2892,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2892&h_MemType=members&memName=ADWEALTH%20STOCK%20BROKING%20PRIVATE%20LIMITED
51,AETRAM TRADES PRIVATE LIMITED,INZ000309838,90356,3227,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3227&h_MemType=members&memName=AETRAM%20TRADES%20PRIVATE%20LIMITED
52,AFCO INVESTMENTS SERVICES PVT. LTD.,INZ000104430,90121,2997,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2997&h_MemType=members&memName=AFCO%20INVESTMENTS%20SERVICES%20PVT.%20LTD.
53,AFFLUENCE SHARES AND STOCKS PRIVATE LIMITED,INZ000173635,14691,2521,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2521&h_MemType=members&memName=AFFLUENCE%20SHARES%20AND%20STOCKS%20PRIVATE%20LIMITED
54,AFN LANGRANA SHARE & STOCK BROKERS P. LTD,INZ000249037,9772,25,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=25&h_MemType=members&memName=AFN%20LANGRANA%20SHARE%20%26%20STOCK%20BROKERS%20P.%20LTD
55,AFTERTRADE BROKING PRIVATE LIMITED,INZ000155638,90113,2986,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2986&h_MemType=members&memName=AFTERTRADE%20BROKING%20PRIVATE%20LIMITED
56,AGROY FINANCE AND INVESTMENT LIMITED,INZ000185530,6919,628,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=628&h_MemType=members&memName=AGROY%20FINANCE%20AND%20INVESTMENT%20LIMITED
